Producto,Cantidad,Precio_Unitario,Fecha_Venta,Vendedor
Teclado,3 ,854 USD,2026-01-01,Elena Torres
Monitor,1,216 USD,2026.01.01,Elena Torres
Mouse,1,955 USD,01-01-2026,Pedro Gómez
Laptop,3 ,859 USD,2026.01.01,Elena Torres
Monitor,5,519 USD,2026-01-01,Valeria Sosa
Monitor,cuatro,114 USD,2026-01-01,Diego Díaz
Teclado,1,44 USD,2026.01.01,Luis Fernández
Monitor, 2,159 USD,01-01-2026,Pedro Gómez
Laptop,3 ,339 USD,2026-01-01,Juan Pérez
Teclado, 2,658 USD,2026.01.01,Juan Pérez
Laptop,5,203 USD,2026-01-01,Carlos López
Monitor,cuatro,868 USD,2026-01-01,Juan Pérez
Monitor,3 ,520 USD,2026-01-01,Facundo Acosta
Mouse, 2,894 USD,2026-01-01,Andrés Benítez
Mouse,1,288 USD,01-01-2026,Valeria Sosa
Teclado, 2,287 USD,2026.01.01,Lucía Sánchez
Monitor,cuatro,998 USD,2026-01-01,Diego Díaz
Monitor, 2,429 USD,2026.01.01,Pedro Gómez
Teclado,1,500 USD,2026-01-01,Pedro Gómez
Mouse,5,861 USD,01-01-2026,Juan Pérez
Monitor,cuatro,218 USD,2026.01.01,Pedro Gómez
Mouse,5,892 USD,2026.01.01,Lucía Sánchez
Teclado,1,646 USD,2026.01.01,Valeria Sosa
Teclado, 2,152 USD,2026-01-01,Ana Martínez
Laptop,5,356 USD,01-01-2026,Facundo Acosta
Mouse,cuatro,555 USD,2026.01.01,Andrés Benítez
Teclado,5,703 USD,2026.01.01,Elena Torres
Monitor,3 ,334 USD,2026.01.01,Diego Díaz
Mouse,3 ,677 USD,2026-01-01,Jorge Romero
Monitor,3 ,284 USD,2026-01-01,Pedro Gómez
Monitor,3 ,636 USD,2026.01.01,Elena Torres
Monitor,3 ,475 USD,2026.01.01,Facundo Acosta
Mouse,3 ,244 USD,01-01-2026,Facundo Acosta
Teclado,cuatro,417 USD,2026.01.01,Jorge Romero
Laptop, 2,876 USD,2026-01-01,Facundo Acosta
Mouse,3 ,429 USD,2026-01-01,Jorge Romero
Laptop,3 ,612 USD,2026.01.01,Pedro Gómez
Laptop, 2,616 USD,2026-01-01,María García
Monitor,1,719 USD,01-01-2026,Valeria Sosa
Monitor,3 ,603 USD,2026.01.01,Juan Pérez
Laptop,3 ,862 USD,01-01-2026,Jorge Romero
Monitor,cuatro,904 USD,2026-01-01,María García
Monitor,cuatro,779 USD,01-01-2026,Sara Ruiz
Laptop,1,68 USD,2026-01-01,Juan Pérez
Mouse,1,444 USD,01-01-2026,Lucía Sánchez
Teclado,1,193 USD,2026-01-01,Diego Díaz
Monitor,1,334 USD,01-01-2026,Jorge Romero
Mouse,cuatro,114 USD,2026-01-01,Diego Díaz
Mouse,3 ,992 USD,01-01-2026,Lucía Sánchez
Mouse,3 ,100 USD,2026.01.01,Luis Fernández
Laptop,5,518 USD,2026-01-01,Ana Martínez
Laptop,cuatro,570 USD,01-01-2026,Sara Ruiz
Monitor,3 ,834 USD,2026-01-01,Pedro Gómez
Laptop,3 ,959 USD,2026-01-01,Carlos López
Teclado,cuatro,906 USD,01-01-2026,Carlos López
Teclado,1,288 USD,2026.01.01,María García
Monitor,cuatro,455 USD,01-01-2026,Sofía Giménez
Teclado, 2,634 USD,2026-01-01,María García
Teclado, 2,630 USD,01-01-2026,Diego Díaz
Mouse,cuatro,42 USD,01-01-2026,María García
Laptop,1,653 USD,2026.01.01,Pedro Gómez
Teclado,3 ,897 USD,2026-01-01,Jorge Romero
Laptop, 2,936 USD,01-01-2026,Elena Torres
Teclado, 2,720 USD,2026.01.01,María García
Monitor,1,621 USD,2026-01-01,Diego Díaz
Laptop,1,575 USD,2026-01-01,Carlos López
Teclado,1,561 USD,2026.01.01,Facundo Acosta
Mouse,5,463 USD,2026.01.01,Carlos López
Laptop,5,58 USD,2026-01-01,Juan Pérez
Teclado, 2,445 USD,2026-01-01,María García
Teclado,3 ,909 USD,2026.01.01,Luis Fernández
Monitor,cuatro,40 USD,2026.01.01,Carlos López
Teclado,5,14 USD,2026.01.01,Elena Torres
Mouse,5,396 USD,01-01-2026,Luis Fernández
Teclado,cuatro,510 USD,01-01-2026,Sara Ruiz
Mouse,3 ,11 USD,01-01-2026,Diego Díaz
Laptop, 2,120 USD,01-01-2026,Andrés Benítez
Laptop,3 ,748 USD,2026.01.01,Lucía Sánchez
Teclado,3 ,150 USD,01-01-2026,Sara Ruiz
Laptop,1,416 USD,2026.01.01,Luis Fernández
Teclado,5,407 USD,2026.01.01,Sara Ruiz
Mouse,1,847 USD,01-01-2026,Diego Díaz
Laptop,5,876 USD,2026-01-01,Valeria Sosa
Monitor,cuatro,291 USD,01-01-2026,Elena Torres
Laptop,3 ,715 USD,2026-01-01,Juan Pérez
Mouse, 2,430 USD,2026-01-01,Ana Martínez
Monitor,1,456 USD,2026-01-01,Sofía Giménez
Mouse,cuatro,254 USD,2026.01.01,Diego Díaz
Mouse,3 ,259 USD,01-01-2026,Lucía Sánchez
Mouse,3 ,552 USD,2026-01-01,Carlos López
Laptop,5,153 USD,2026.01.01,Facundo Acosta
Teclado,5,466 USD,2026.01.01,Sofía Giménez
Teclado,cuatro,327 USD,2026-01-01,Sofía Giménez
Teclado,cuatro,797 USD,2026-01-01,Ana Martínez
Monitor,5,783 USD,2026.01.01,Facundo Acosta
Laptop,5,993 USD,01-01-2026,Sofía Giménez
Mouse,5,32 USD,2026-01-01,Facundo Acosta
Teclado,1,331 USD,01-01-2026,Juan Pérez
Mouse,cuatro,342 USD,2026-01-01,Diego Díaz
Mouse,cuatro,377 USD,2026.01.01,Pedro Gómez
Laptop,3 ,316 USD,2026.01.01,Lucía Sánchez
Monitor,5,554 USD,2026.01.01,Carlos López
Mouse, 2,986 USD,2026.01.01,Sofía Giménez
Teclado,5,789 USD,2026-01-01,Juan Pérez
Mouse,3 ,262 USD,01-01-2026,Sara Ruiz
Monitor,cuatro,564 USD,2026-01-01,Diego Díaz
Mouse, 2,685 USD,2026.01.01,Ana Martínez
Teclado,1,745 USD,01-01-2026,Facundo Acosta
Laptop,3 ,883 USD,2026-01-01,Andrés Benítez
Laptop,1,199 USD,01-01-2026,Luis Fernández
Monitor,1,537 USD,2026.01.01,Pedro Gómez
Laptop,5,855 USD,01-01-2026,Lucía Sánchez
Teclado,5,352 USD,2026.01.01,Sara Ruiz
Laptop,1,672 USD,2026.01.01,Valeria Sosa
Teclado,cuatro,516 USD,01-01-2026,Sara Ruiz
Laptop,1,763 USD,2026.01.01,Juan Pérez
Monitor,cuatro,693 USD,01-01-2026,Diego Díaz
Monitor,1,633 USD,2026.01.01,María García
Monitor,3 ,463 USD,2026.01.01,Pedro Gómez
Mouse,3 ,692 USD,2026.01.01,Lucía Sánchez
Teclado,3 ,303 USD,01-01-2026,Andrés Benítez
Laptop,1,778 USD,01-01-2026,Luis Fernández
Monitor, 2,959 USD,01-01-2026,Elena Torres
Teclado,1,723 USD,01-01-2026,Luis Fernández
Monitor,1,727 USD,01-01-2026,Jorge Romero
Monitor, 2,442 USD,2026-01-01,Pedro Gómez
Monitor, 2,299 USD,2026-01-01,Luis Fernández
Monitor, 2,843 USD,2026.01.01,Carlos López
Laptop,5,689 USD,2026.01.01,Diego Díaz
Teclado,cuatro,453 USD,2026.01.01,Carlos López
Monitor,1,654 USD,2026-01-01,Pedro Gómez
Mouse,5,305 USD,2026-01-01,Diego Díaz
Laptop,cuatro,390 USD,2026.01.01,Diego Díaz
Teclado,cuatro,50 USD,01-01-2026,Diego Díaz
Monitor,1,903 USD,01-01-2026,Ana Martínez
Monitor,1,56 USD,01-01-2026,Juan Pérez
Mouse,cuatro,314 USD,2026-01-01,Valeria Sosa
Teclado, 2,798 USD,2026.01.01,Andrés Benítez
Teclado,1,987 USD,2026-01-01,Sofía Giménez
Mouse,3 ,166 USD,2026.01.01,Andrés Benítez
Monitor,cuatro,380 USD,2026-01-01,Ana Martínez
Mouse,1,924 USD,2026-01-01,Jorge Romero
Teclado,1,572 USD,01-01-2026,Luis Fernández
Teclado,5,259 USD,01-01-2026,Pedro Gómez
Laptop,1,472 USD,2026-01-01,Ana Martínez
Laptop,1,298 USD,01-01-2026,Sara Ruiz
Teclado,1,119 USD,01-01-2026,Facundo Acosta
Monitor,5,71 USD,2026.01.01,Sofía Giménez
Mouse,1,381 USD,01-01-2026,Jorge Romero
Laptop,5,570 USD,2026-01-01,Facundo Acosta
Laptop,5,761 USD,01-01-2026,Pedro Gómez
Mouse,cuatro,525 USD,2026.01.01,Elena Torres
Monitor,cuatro,374 USD,2026-01-01,Pedro Gómez
Teclado,1,470 USD,01-01-2026,Valeria Sosa
Mouse,3 ,611 USD,01-01-2026,Facundo Acosta
Monitor, 2,699 USD,01-01-2026,Elena Torres
Mouse,cuatro,578 USD,2026.01.01,Carlos López
Laptop,1,874 USD,2026-01-01,Facundo Acosta
Mouse,3 ,459 USD,2026.01.01,Carlos López
Teclado,1,15 USD,2026.01.01,Facundo Acosta
Teclado,cuatro,914 USD,2026-01-01,Lucía Sánchez
Monitor,1,926 USD,01-01-2026,Sofía Giménez
Laptop,5,182 USD,2026.01.01,Ana Martínez
Teclado,cuatro,443 USD,2026.01.01,Sofía Giménez
Laptop,5,525 USD,01-01-2026,Luis Fernández
Teclado, 2,154 USD,2026.01.01,Valeria Sosa
Monitor, 2,313 USD,2026-01-01,Pedro Gómez
Mouse,3 ,358 USD,01-01-2026,Carlos López
Monitor,3 ,288 USD,01-01-2026,Valeria Sosa
Monitor,5,930 USD,01-01-2026,Juan Pérez
Teclado, 2,330 USD,01-01-2026,Andrés Benítez
Teclado,1,205 USD,2026.01.01,Facundo Acosta
Mouse,cuatro,210 USD,2026.01.01,Sofía Giménez
Mouse,cuatro,691 USD,01-01-2026,Pedro Gómez
Mouse,3 ,840 USD,2026-01-01,Andrés Benítez
Monitor,cuatro,721 USD,2026-01-01,Lucía Sánchez
Laptop,5,253 USD,2026-01-01,Facundo Acosta
Mouse,cuatro,476 USD,2026-01-01,Sara Ruiz
Teclado,5,803 USD,01-01-2026,María García
Teclado,1,161 USD,2026-01-01,Andrés Benítez
Monitor, 2,309 USD,2026.01.01,Facundo Acosta
Mouse,cuatro,678 USD,2026.01.01,Luis Fernández
Monitor,1,776 USD,01-01-2026,Elena Torres
Teclado,cuatro,83 USD,2026-01-01,Ana Martínez
Laptop,3 ,247 USD,2026-01-01,Pedro Gómez
Teclado,cuatro,570 USD,01-01-2026,Pedro Gómez
Laptop, 2,184 USD,2026.01.01,Juan Pérez
Teclado,cuatro,278 USD,2026.01.01,Juan Pérez
Monitor,3 ,129 USD,2026-01-01,Diego Díaz
Monitor,1,198 USD,2026.01.01,Valeria Sosa
Mouse,cuatro,886 USD,2026.01.01,Elena Torres
Teclado,cuatro,970 USD,2026-01-01,Ana Martínez
Monitor,5,232 USD,01-01-2026,Pedro Gómez
Teclado, 2,17 USD,01-01-2026,Valeria Sosa
Laptop,3 ,951 USD,2026-01-01,Andrés Benítez
Monitor,1,40 USD,2026-01-01,María García
Teclado,3 ,243 USD,01-01-2026,Luis Fernández
Teclado,5,709 USD,01-01-2026,Facundo Acosta
Laptop, 2,895 USD,2026.01.01,Lucía Sánchez
Monitor,cuatro,503 USD,2026.01.01,Juan Pérez
Monitor,cuatro,213 USD,01-01-2026,Luis Fernández
Mouse,1,940 USD,01-01-2026,Sofía Giménez
Monitor,1,42 USD,2026-01-01,Valeria Sosa
Teclado, 2,390 USD,2026-01-01,Jorge Romero
Laptop,5,173 USD,2026.01.01,Pedro Gómez
Monitor, 2,934 USD,01-01-2026,María García
Mouse,5,463 USD,2026.01.01,Valeria Sosa
Monitor,3 ,667 USD,01-01-2026,María García
Monitor,3 ,510 USD,2026-01-01,Ana Martínez
Laptop,5,684 USD,01-01-2026,Jorge Romero
Laptop,cuatro,933 USD,2026-01-01,Valeria Sosa
Mouse,5,228 USD,01-01-2026,Facundo Acosta
Monitor,5,248 USD,2026-01-01,Luis Fernández
Monitor,cuatro,93 USD,2026-01-01,Elena Torres
Teclado, 2,587 USD,2026.01.01,Valeria Sosa
Mouse, 2,675 USD,2026.01.01,Facundo Acosta
Monitor,3 ,400 USD,2026.01.01,Juan Pérez
Teclado,1,635 USD,2026.01.01,Ana Martínez
Monitor,cuatro,328 USD,01-01-2026,Juan Pérez
Monitor,3 ,494 USD,01-01-2026,Pedro Gómez
Laptop,3 ,214 USD,2026.01.01,Jorge Romero
Monitor,1,649 USD,2026-01-01,Valeria Sosa
Mouse,cuatro,589 USD,2026-01-01,Sara Ruiz
Monitor,5,939 USD,2026-01-01,Pedro Gómez
Mouse,5,709 USD,01-01-2026,Andrés Benítez
Monitor,cuatro,512 USD,2026-01-01,Jorge Romero
Laptop,cuatro,39 USD,01-01-2026,Lucía Sánchez
Teclado,3 ,96 USD,2026-01-01,Juan Pérez
Laptop,3 ,139 USD,01-01-2026,Lucía Sánchez
Teclado,3 ,550 USD,2026.01.01,Andrés Benítez
Monitor,cuatro,881 USD,2026-01-01,Ana Martínez
Monitor,1,265 USD,2026-01-01,Juan Pérez
Mouse, 2,535 USD,2026.01.01,Sofía Giménez
Monitor, 2,646 USD,01-01-2026,Elena Torres
Monitor,5,555 USD,01-01-2026,Jorge Romero
Teclado,5,710 USD,2026.01.01,Facundo Acosta
Teclado,1,188 USD,2026.01.01,Jorge Romero
Monitor,cuatro,110 USD,2026-01-01,Valeria Sosa
Mouse,3 ,539 USD,2026.01.01,María García
Mouse,cuatro,596 USD,01-01-2026,Luis Fernández
Teclado, 2,757 USD,2026.01.01,Carlos López
Mouse, 2,366 USD,2026.01.01,Facundo Acosta
Laptop,1,666 USD,2026-01-01,Lucía Sánchez
Mouse,5,416 USD,2026-01-01,María García
Monitor,3 ,606 USD,2026-01-01,Diego Díaz
Laptop,5,136 USD,01-01-2026,Luis Fernández
Laptop,5,743 USD,2026-01-01,Juan Pérez
Mouse,3 ,242 USD,2026.01.01,Juan Pérez
Mouse,5,741 USD,01-01-2026,Carlos López
Mouse,3 ,10 USD,2026.01.01,Lucía Sánchez
Monitor, 2,488 USD,2026.01.01,Ana Martínez
Laptop, 2,479 USD,01-01-2026,Diego Díaz
Monitor,3 ,316 USD,2026-01-01,María García
Laptop,5,974 USD,2026.01.01,Lucía Sánchez
Teclado,3 ,906 USD,2026-01-01,Andrés Benítez
Mouse,1,878 USD,2026.01.01,Sofía Giménez
Mouse,1,530 USD,2026.01.01,Diego Díaz
Monitor, 2,421 USD,2026.01.01,Sara Ruiz
Mouse,3 ,518 USD,2026.01.01,Sofía Giménez
Laptop, 2,906 USD,2026.01.01,Jorge Romero
Laptop,1,233 USD,2026.01.01,Carlos López
Monitor,3 ,296 USD,2026.01.01,Sofía Giménez
Teclado,cuatro,451 USD,2026-01-01,Jorge Romero
Monitor, 2,983 USD,2026-01-01,Andrés Benítez
Mouse,cuatro,708 USD,2026.01.01,Facundo Acosta
Laptop,5,59 USD,2026.01.01,María García
Teclado,1,452 USD,2026.01.01,Andrés Benítez
Monitor,1,134 USD,01-01-2026,Jorge Romero
Monitor,3 ,32 USD,2026-01-01,María García
Mouse,cuatro,17 USD,01-01-2026,Facundo Acosta
Mouse,cuatro,410 USD,01-01-2026,Diego Díaz
Teclado,3 ,605 USD,01-01-2026,Sara Ruiz
Mouse,1,746 USD,2026-01-01,Elena Torres
Monitor,3 ,420 USD,01-01-2026,Valeria Sosa
Teclado,1,62 USD,2026.01.01,Diego Díaz
Monitor,3 ,159 USD,01-01-2026,Valeria Sosa
Mouse,3 ,473 USD,2026-01-01,Pedro Gómez
Monitor,cuatro,625 USD,01-01-2026,Diego Díaz
Monitor,5,445 USD,01-01-2026,Carlos López
Laptop,cuatro,23 USD,2026.01.01,Facundo Acosta
Mouse,1,148 USD,01-01-2026,Elena Torres
Monitor, 2,312 USD,2026-01-01,Pedro Gómez
Laptop,3 ,50 USD,2026.01.01,Sara Ruiz
Mouse,5,502 USD,01-01-2026,Juan Pérez
Monitor,1,194 USD,2026-01-01,Elena Torres
Laptop,5,195 USD,2026-01-01,Juan Pérez
Teclado,cuatro,333 USD,2026-01-01,Lucía Sánchez
Mouse,5,878 USD,01-01-2026,María García
Laptop,5,55 USD,01-01-2026,Pedro Gómez
Teclado,1,37 USD,2026.01.01,Facundo Acosta
Monitor, 2,910 USD,2026.01.01,Valeria Sosa
Mouse,1,375 USD,01-01-2026,Pedro Gómez
Laptop,1,878 USD,2026-01-01,Elena Torres
Mouse,5,100 USD,2026-01-01,Juan Pérez
Teclado,5,965 USD,2026.01.01,Andrés Benítez
Laptop,cuatro,522 USD,2026-01-01,Elena Torres
Monitor,3 ,96 USD,2026.01.01,Luis Fernández
Mouse, 2,418 USD,2026-01-01,Sofía Giménez
Monitor,3 ,156 USD,2026.01.01,Facundo Acosta
Monitor,3 ,80 USD,01-01-2026,Valeria Sosa
Laptop,3 ,145 USD,2026.01.01,Sofía Giménez
Laptop, 2,730 USD,01-01-2026,Carlos López
Laptop,cuatro,531 USD,2026-01-01,Elena Torres
Teclado,1,432 USD,01-01-2026,Lucía Sánchez
Monitor,3 ,878 USD,2026.01.01,Valeria Sosa
Laptop, 2,893 USD,2026.01.01,Diego Díaz
Monitor, 2,452 USD,2026.01.01,Sara Ruiz
Teclado,cuatro,198 USD,01-01-2026,María García
Laptop,5,578 USD,2026-01-01,Sara Ruiz
Monitor,cuatro,14 USD,01-01-2026,Diego Díaz
Monitor,cuatro,555 USD,01-01-2026,Jorge Romero
Teclado,5,30 USD,2026.01.01,Lucía Sánchez
Mouse,5,313 USD,01-01-2026,Jorge Romero
Mouse, 2,198 USD,2026-01-01,Diego Díaz
Laptop,1,531 USD,2026-01-01,Jorge Romero
Laptop,cuatro,157 USD,2026-01-01,Luis Fernández
Mouse, 2,765 USD,2026.01.01,Facundo Acosta
Laptop,1,155 USD,2026.01.01,Elena Torres
Monitor,3 ,729 USD,2026.01.01,Elena Torres
Teclado, 2,73 USD,2026.01.01,Jorge Romero
Mouse,1,768 USD,2026.01.01,Facundo Acosta
Mouse,1,284 USD,01-01-2026,Luis Fernández
Teclado, 2,228 USD,2026.01.01,Valeria Sosa
Mouse,3 ,814 USD,01-01-2026,Carlos López
Teclado, 2,804 USD,2026-01-01,Sara Ruiz
Laptop,1,419 USD,2026.01.01,Jorge Romero
Mouse,3 ,582 USD,01-01-2026,Valeria Sosa
Monitor,cuatro,745 USD,01-01-2026,Carlos López
Teclado,3 ,824 USD,01-01-2026,Valeria Sosa
Teclado,3 ,678 USD,01-01-2026,María García
Monitor,cuatro,136 USD,2026.01.01,Elena Torres
Monitor, 2,735 USD,2026-01-01,María García
Laptop,cuatro,679 USD,2026.01.01,Sara Ruiz
Mouse,3 ,272 USD,01-01-2026,Andrés Benítez
Monitor,cuatro,293 USD,2026-01-01,Valeria Sosa
Laptop,1,560 USD,2026-01-01,Sofía Giménez
Monitor,3 ,88 USD,01-01-2026,Jorge Romero
Teclado,5,613 USD,2026-01-01,Sara Ruiz
Teclado,5,286 USD,2026-01-01,Diego Díaz
Teclado,5,501 USD,2026-01-01,María García
Monitor,1,644 USD,2026-01-01,Elena Torres
Mouse,3 ,656 USD,2026.01.01,Luis Fernández
Laptop,5,411 USD,2026.01.01,Diego Díaz
Monitor, 2,703 USD,2026-01-01,Lucía Sánchez
Mouse,3 ,412 USD,2026-01-01,Carlos López
Monitor,3 ,497 USD,2026-01-01,Sofía Giménez
Teclado, 2,70 USD,2026-01-01,María García
Laptop,3 ,584 USD,2026.01.01,Ana Martínez
Mouse,1,972 USD,2026-01-01,Diego Díaz
Laptop,3 ,199 USD,2026-01-01,Ana Martínez
Monitor,1,859 USD,01-01-2026,Carlos López
Laptop,5,102 USD,2026.01.01,Elena Torres
Laptop, 2,858 USD,01-01-2026,Lucía Sánchez
Monitor, 2,874 USD,2026.01.01,Ana Martínez
Teclado,1,169 USD,01-01-2026,Andrés Benítez
Teclado,3 ,514 USD,2026.01.01,Valeria Sosa
Monitor,1,177 USD,01-01-2026,Sofía Giménez
Laptop,3 ,982 USD,2026.01.01,Lucía Sánchez
Laptop,5,892 USD,01-01-2026,Sara Ruiz
Laptop,3 ,568 USD,2026-01-01,Ana Martínez
Laptop,cuatro,557 USD,2026-01-01,Valeria Sosa
Monitor, 2,30 USD,2026-01-01,Luis Fernández
Mouse,3 ,477 USD,2026.01.01,Jorge Romero
Teclado, 2,364 USD,2026.01.01,Andrés Benítez
Teclado,5,732 USD,01-01-2026,Ana Martínez
Teclado, 2,549 USD,01-01-2026,Carlos López
Monitor,1,958 USD,2026-01-01,Sara Ruiz
Teclado,5,677 USD,2026.01.01,Juan Pérez
Teclado,3 ,647 USD,2026-01-01,Andrés Benítez
Teclado,3 ,490 USD,2026.01.01,Ana Martínez
Laptop, 2,528 USD,2026-01-01,Ana Martínez
Mouse,cuatro,258 USD,2026-01-01,Carlos López
Monitor,3 ,44 USD,2026-01-01,Sara Ruiz
Teclado,1,493 USD,2026-01-01,Valeria Sosa
Monitor,3 ,418 USD,01-01-2026,Andrés Benítez
Teclado,5,878 USD,2026-01-01,María García
Mouse,5,489 USD,01-01-2026,María García
Teclado,cuatro,685 USD,2026.01.01,Elena Torres
Teclado,3 ,496 USD,01-01-2026,Elena Torres
Mouse,5,298 USD,01-01-2026,Sara Ruiz
Teclado,1,529 USD,2026-01-01,Facundo Acosta
Mouse,5,556 USD,2026-01-01,Carlos López
Laptop,3 ,135 USD,01-01-2026,Diego Díaz
Monitor,3 ,38 USD,2026-01-01,Juan Pérez
Monitor, 2,771 USD,2026-01-01,Jorge Romero
Monitor,1,373 USD,01-01-2026,Elena Torres
Mouse,3 ,640 USD,2026-01-01,Diego Díaz
Mouse,3 ,74 USD,01-01-2026,Diego Díaz
Teclado, 2,72 USD,2026-01-01,Facundo Acosta
Teclado,5,727 USD,01-01-2026,Sara Ruiz
Monitor, 2,678 USD,2026-01-01,Ana Martínez
Laptop,3 ,17 USD,2026.01.01,Luis Fernández
Mouse, 2,375 USD,2026-01-01,Ana Martínez
Teclado,1,841 USD,2026-01-01,Carlos López
Laptop,1,605 USD,01-01-2026,Jorge Romero
Laptop,3 ,968 USD,2026.01.01,Juan Pérez
Laptop, 2,971 USD,2026-01-01,Diego Díaz
Mouse,5,414 USD,01-01-2026,Valeria Sosa
Laptop,3 ,464 USD,2026.01.01,Andrés Benítez
Laptop, 2,761 USD,01-01-2026,Lucía Sánchez
Teclado,5,835 USD,2026.01.01,Sofía Giménez
Mouse,cuatro,185 USD,01-01-2026,Juan Pérez
Laptop,1,809 USD,2026.01.01,Elena Torres
Monitor, 2,140 USD,2026.01.01,Sara Ruiz
Laptop,3 ,796 USD,01-01-2026,Jorge Romero
Teclado, 2,536 USD,2026.01.01,Ana Martínez
Teclado,5,753 USD,2026.01.01,María García
Teclado,1,557 USD,01-01-2026,Andrés Benítez
Monitor,5,399 USD,01-01-2026,Sara Ruiz
Mouse,cuatro,756 USD,2026-01-01,Carlos López
Mouse,5,820 USD,2026.01.01,Facundo Acosta
Laptop,cuatro,218 USD,2026.01.01,Sofía Giménez
Laptop,1,150 USD,2026-01-01,Carlos López
Mouse,1,77 USD,01-01-2026,Facundo Acosta
Mouse,1,764 USD,01-01-2026,Facundo Acosta
Teclado,5,138 USD,01-01-2026,Elena Torres
Laptop,3 ,979 USD,01-01-2026,Elena Torres
Mouse,cuatro,119 USD,2026.01.01,Luis Fernández
Monitor,3 ,220 USD,2026.01.01,Sara Ruiz
Mouse, 2,161 USD,01-01-2026,Jorge Romero
Laptop,cuatro,117 USD,2026-01-01,Lucía Sánchez
Monitor,cuatro,687 USD,2026-01-01,Ana Martínez
Teclado,5,320 USD,01-01-2026,Luis Fernández
Laptop,5,415 USD,01-01-2026,Pedro Gómez
Monitor,cuatro,709 USD,01-01-2026,Lucía Sánchez
Monitor,cuatro,650 USD,2026-01-01,Valeria Sosa
Teclado, 2,524 USD,2026.01.01,Jorge Romero
Monitor, 2,904 USD,01-01-2026,Valeria Sosa
Teclado,3 ,988 USD,2026-01-01,Jorge Romero
Mouse, 2,847 USD,01-01-2026,Sofía Giménez
Teclado,1,732 USD,2026-01-01,Pedro Gómez
Laptop, 2,90 USD,2026-01-01,Valeria Sosa
Laptop,cuatro,300 USD,2026-01-01,Juan Pérez
Laptop,cuatro,459 USD,2026-01-01,Pedro Gómez
Teclado,5,24 USD,2026.01.01,Ana Martínez
Teclado, 2,531 USD,2026.01.01,Valeria Sosa
Laptop,3 ,465 USD,2026-01-01,Facundo Acosta
Teclado,1,543 USD,2026-01-01,Juan Pérez
Laptop, 2,959 USD,2026-01-01,Carlos López
Teclado,1,422 USD,01-01-2026,Jorge Romero
Teclado,5,201 USD,2026-01-01,Diego Díaz
Monitor, 2,923 USD,2026-01-01,Ana Martínez
Mouse,3 ,540 USD,01-01-2026,Elena Torres
